2026-05-11 23:02:05 | INFO    | build_dataset:4361 | Resume mode: 0 tickers done, 3 remaining, 0 accessions cached
2026-05-11 23:02:05 | INFO    | process_company:3784 | ══ AAPL (Apple Inc) ══
2026-05-11 23:05:43 | INFO    | process_company:3932 |     ⚠ Liquidity paradox: CR=0.87 + Cash=$29.9B | Risk=HIGH
2026-05-11 23:05:51 | DEBUG   | _step_up:717 |   AdaptiveLimiter: step-up → rpm=40, workers=2, backoff_coeff=1.00
2026-05-11 23:05:51 | DEBUG   | generate_analysis_v19:3187 |     Stage A: 976 chars, 5 connectors
2026-05-11 23:06:12 | DEBUG   | _call_llm_once:3107 |     LLM OK — Stage-B attempt 1/5 | llm_calls=22, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:06:12 | DEBUG   | generate_analysis_v19:3234 |     V19-3 Auditor: approved on cycle 0 (gold_ready, no audit needed)
2026-05-11 23:06:12 | INFO    | process_company:4064 |     ✓ FULL [10-K|Q=100|tier=gold|auditor_cycles=0|causal=6]: 2058 chars
2026-05-11 23:06:12 | INFO    | process_company:3811 |   ▶ 10-K | 2024-06-30 | 0000950170-24-087843
2026-05-11 23:06:12 | DEBUG   | fetch_abnormal_return:1146 |   AR MSFT: stock=-5.51% SPY=-3.66% abnormal=-1.85%
2026-05-11 23:06:12 | INFO    | process_company:3828 |     AR: -1.85% (neutral)
2026-05-11 23:06:15 | DEBUG   | generate_analysis_v19:3187 |     Stage A: 774 chars, 5 connectors
2026-05-11 23:06:23 | INFO    | scrape_text_sections:2187 |     Strategy-1 sections: 1/6
2026-05-11 23:06:23 | INFO    | scrape_text_sections:2197 |     Strategy-2 Risk fallback: 4733 chars
2026-05-11 23:06:23 | INFO    | scrape_text_sections:2206 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-11 23:06:23 | INFO    | enrich_thin_mda:1655 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-11 23:06:23 | INFO    | process_company:3898 |     Metrics:44 | decum:False | text_sourced:0 | sections:2
2026-05-11 23:06:27 | DEBUG   | _call_llm_once:3107 |     LLM OK — Stage-B attempt 1/5 | llm_calls=24, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:06:27 | DEBUG   | generate_analysis_v19:3234 |     V19-3 Auditor: approved on cycle 0 (gold_ready, no audit needed)
2026-05-11 23:06:27 | INFO    | process_company:4064 |     ✓ FULL [10-K|Q=100|tier=gold|auditor_cycles=0|causal=9]: 2600 chars
2026-05-11 23:06:27 | INFO    | process_company:3811 |   ▶ 10-K | 2025-09-27 | 0000320193-25-000079
2026-05-11 23:06:28 | DEBUG   | fetch_abnormal_return:1146 |   AR AAPL: stock=-0.70% SPY=-1.63% abnormal=+0.92%
2026-05-11 23:06:28 | INFO    | process_company:3828 |     AR: +0.92% (neutral)
2026-05-11 23:06:29 | INFO    | scrape_text_sections:2187 |     Strategy-1 sections: 1/6
2026-05-11 23:06:29 | INFO    | scrape_text_sections:2197 |     Strategy-2 Risk fallback: 4798 chars
2026-05-11 23:06:29 | INFO    | scrape_text_sections:2206 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-11 23:06:29 | INFO    | enrich_thin_mda:1655 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-11 23:06:29 | INFO    | process_company:3898 |     Metrics:46 | decum:False | text_sourced:0 | sections:2
2026-05-11 23:06:29 | INFO    | process_company:3932 |     ⚠ Liquidity paradox: CR=0.89 + Cash=$35.9B | Risk=HIGH
2026-05-11 23:06:36 | DEBUG   | generate_analysis_v19:3187 |     Stage A: 534 chars, 6 connectors
2026-05-11 23:06:41 | DEBUG   | generate_analysis_v19:3187 |     Stage A: 461 chars, 5 connectors
2026-05-11 23:06:51 | DEBUG   | _call_llm_once:3107 |     LLM OK — Stage-B attempt 1/5 | llm_calls=27, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:06:51 | DEBUG   | generate_analysis_v19:3234 |     V19-3 Auditor: approved on cycle 0 (gold_ready, no audit needed)
2026-05-11 23:06:51 | INFO    | process_company:4064 |     ✓ FULL [10-K|Q=100|tier=gold|auditor_cycles=0|causal=10]: 2072 chars
2026-05-11 23:06:54 | DEBUG   | _call_llm_once:3107 |     LLM OK — Stage-B attempt 1/5 | llm_calls=28, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:06:54 | DEBUG   | generate_analysis_v19:3234 |     V19-3 Auditor: approved on cycle 0 (gold_ready, no audit needed)
2026-05-11 23:06:54 | INFO    | process_company:4064 |     ✓ FULL [10-K|Q=100|tier=gold|auditor_cycles=0|causal=6]: 2391 chars
2026-05-11 23:06:54 | INFO    | process_company:3811 |   ▶ 10-K | 2025-06-30 | 0000950170-25-100235
2026-05-11 23:06:55 | DEBUG   | _call_llm_once:3107 |     LLM OK — single-stage attempt 1/5 | llm_calls=28, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:06:55 | INFO    | process_company:4113 |     ✓ Negative example [10-K]: 702 chars
2026-05-11 23:06:55 | DEBUG   | fetch_abnormal_return:1146 |   AR MSFT: stock=+2.28% SPY=-0.27% abnormal=+2.54%
2026-05-11 23:06:55 | INFO    | process_company:3828 |     AR: +2.54% (positive)
